name,position,color,bowl,task,success,failure_type,duration_s,notes,timestamp,policy,mode
pi05_pair,1,red,left,put the red block in the left bowl,0,touch_no_grip,73.4,touches block but grippers not positioned correctly to pick up,2026-09-12T17:19:05,/outputs/pi05_so101_blocks_40000_ep0-49_100-149-20260911-221316/checkpoints/last/pretrained_model,sync
pi05_pair,2,blue,right,put the blue block in the right bowl,0,touch_no_grip,74.9,touches block but grippers not positioned correctly,2026-09-12T17:20:36,/outputs/pi05_so101_blocks_40000_ep0-49_100-149-20260911-221316/checkpoints/last/pretrained_model,sync
pi05_pair,3,red,left,put the red block in the left bowl,0,touch_no_grip,76.3,"touches block but gripper not positioned correctly, adjustments are poor",2026-09-12T17:22:21,/outputs/pi05_so101_blocks_40000_ep0-49_100-149-20260911-221316/checkpoints/last/pretrained_model,sync
pi05_pair,4,blue,right,put the blue block in the right bowl,0,touch_no_grip,93.0,"touches block but not positioned correctly, attempst to recover at offset to block",2026-09-12T17:24:16,/outputs/pi05_so101_blocks_40000_ep0-49_100-149-20260911-221316/checkpoints/last/pretrained_model,sync
pi05_pair,5,red,left,put the red block in the left bowl,0,no_reach,75.6,hovers over and attempts to grasp at offset to block,2026-09-12T17:25:56,/outputs/pi05_so101_blocks_40000_ep0-49_100-149-20260911-221316/checkpoints/last/pretrained_model,sync
pi05_pair,6,blue,right,put the blue block in the right bowl,0,no_reach,73.3,reaches towards block but attempts to grip at offset,2026-09-12T17:27:54,/outputs/pi05_so101_blocks_40000_ep0-49_100-149-20260911-221316/checkpoints/last/pretrained_model,sync
pi05_pair,7,red,left,put the red block in the left bowl,0,touch_no_grip,75.5,"grippers placed around block but did not close to pick up, struggled to place grippers properly to grasp",2026-09-12T17:29:30,/outputs/pi05_so101_blocks_40000_ep0-49_100-149-20260911-221316/checkpoints/last/pretrained_model,sync
pi05_pair,8,blue,right,put the blue block in the right bowl,0,no_reach,74.9,arm moves around but does not approach block,2026-09-12T17:31:13,/outputs/pi05_so101_blocks_40000_ep0-49_100-149-20260911-221316/checkpoints/last/pretrained_model,sync
pi05_pair,9,red,left,put the red block in the left bowl,1,,77.6,"gripper happens to approach next to block correctly, drops into bowl",2026-09-12T17:33:54,/outputs/pi05_so101_blocks_40000_ep0-49_100-149-20260911-221316/checkpoints/last/pretrained_model,sync
pi05_pair,10,blue,right,put the blue block in the right bowl,1,,75.0,"grippers happen to position around planes of cube, picks up successfully",2026-09-12T17:35:41,/outputs/pi05_so101_blocks_40000_ep0-49_100-149-20260911-221316/checkpoints/last/pretrained_model,sync
pi05_pair,11,red,left,put the red block in the left bowl,0,touch_no_grip,74.0,gripper not positioned correctly around block,2026-09-12T17:37:56,/outputs/pi05_so101_blocks_40000_ep0-49_100-149-20260911-221316/checkpoints/last/pretrained_model,sync
pi05_pair,12,blue,right,put the blue block in the right bowl,1,,74.3,"gripper positioned successfully first try, closes and picks up",2026-09-12T17:39:40,/outputs/pi05_so101_blocks_40000_ep0-49_100-149-20260911-221316/checkpoints/last/pretrained_model,sync
pi05_pair,13,red,left,put the red block in the left bowl,0,touch_no_grip,76.6,"positioned correctly but grippers don't close, continues to shift around block",2026-09-12T17:41:21,/outputs/pi05_so101_blocks_40000_ep0-49_100-149-20260911-221316/checkpoints/last/pretrained_model,sync
pi05_pair,14,blue,right,put the blue block in the right bowl,0,touch_no_grip,73.5,touches block but grippers not positioned correctly to close,2026-09-12T17:43:00,/outputs/pi05_so101_blocks_40000_ep0-49_100-149-20260911-221316/checkpoints/last/pretrained_model,sync
pi05_pair,15,red,left,put the red block in the left bowl,1,,74.6,"approaches block diagonally at first where gripper isn't able to pick up block, second attempt appproaches block properly and picks up",2026-09-12T17:44:59,/outputs/pi05_so101_blocks_40000_ep0-49_100-149-20260911-221316/checkpoints/last/pretrained_model,sync
pi05_pair,16,blue,right,put the blue block in the right bowl,1,,74.4,"grippers happen to be positioned around block first try, doesn't immediately drops block over bowl and moves away, but moves back and drops over bowl second time around",2026-09-12T17:47:04,/outputs/pi05_so101_blocks_40000_ep0-49_100-149-20260911-221316/checkpoints/last/pretrained_model,sync
pi05_pair,17,red,left,put the red block in the left bowl,0,no_reach,75.5,reaches out at some offset to block around center of mat and tries to grip nothing,2026-09-12T17:48:33,/outputs/pi05_so101_blocks_40000_ep0-49_100-149-20260911-221316/checkpoints/last/pretrained_model,sync
pi05_pair,18,blue,right,put the blue block in the right bowl,0,touch_no_grip,151.2,"touches block but struggles with precision of gripper placement, pushes block outside of mat",2026-09-12T17:53:57,/outputs/pi05_so101_blocks_40000_ep0-49_100-149-20260911-221316/checkpoints/last/pretrained_model,sync
pi05_pair,19,red,left,put the red block in the left bowl,0,touch_no_grip,56.7,"reaches out but barely touches block, never in position to grip",2026-09-12T17:55:08,/outputs/pi05_so101_blocks_40000_ep0-49_100-149-20260911-221316/checkpoints/last/pretrained_model,sync
pi05_pair,20,blue,right,put the blue block in the right bowl,0,touch_no_grip,57.0,"approaches block from directly above, not positioned correctly to grip from sides",2026-09-12T17:56:41,/outputs/pi05_so101_blocks_40000_ep0-49_100-149-20260911-221316/checkpoints/last/pretrained_model,sync
