name,position,color,bowl,task,success,failure_type,duration_s,notes,timestamp,policy,mode
act100_pair,1,red,left,put the red block in the left bowl,0,touch_no_grip,44.8,"tried to grasp a few times and missed, didn't hover over bowl",2026-09-08T20:27:52,experiments/checkpoints/act_so101_blocks_20000_ep0-49_100-149,local
act100_pair,2,blue,right,put the blue block in the right bowl,0,touch_no_grip,43.5,"hovered over bowl but missed initial grasp, then started twitching above mat",2026-09-08T20:29:08,experiments/checkpoints/act_so101_blocks_20000_ep0-49_100-149,local
act100_pair,3,red,left,put the red block in the left bowl,0,touch_no_grip,43.3,"dragged grippers across table, missed block, twitched for a bit then returned",2026-09-08T20:30:19,experiments/checkpoints/act_so101_blocks_20000_ep0-49_100-149,local
act100_pair,4,blue,right,put the blue block in the right bowl,0,collision,43.5,"picked up block successfully, didn't go high enough and collided with edge of bowl before dropping block on table",2026-09-08T20:31:30,experiments/checkpoints/act_so101_blocks_20000_ep0-49_100-149,local
act100_pair,5,red,left,put the red block in the left bowl,0,touch_no_grip,43.4,"drags grippers across table, doesn't ever grip block, twitches randomly in middle of mat",2026-09-08T20:32:53,experiments/checkpoints/act_so101_blocks_20000_ep0-49_100-149,local
act100_pair,6,blue,right,put the blue block in the right bowl,0,touch_no_grip,43.4,"drags gripper across table, never grips block, twitches in center of mat",2026-09-08T20:33:58,experiments/checkpoints/act_so101_blocks_20000_ep0-49_100-149,local
act100_pair,7,red,left,put the red block in the left bowl,0,touch_no_grip,43.4,"VERY close to picking up block, after it missed it looked like it tried to go back for a second try but then got stuck in middle of mat and stopped moving",2026-09-08T20:35:09,experiments/checkpoints/act_so101_blocks_20000_ep0-49_100-149,local
act100_pair,8,blue,right,put the blue block in the right bowl,0,collision,43.3,successfully picked up blue block but got stuck  on the side of the bowl instead of raising it high enough to drop back in,2026-09-08T20:36:45,experiments/checkpoints/act_so101_blocks_20000_ep0-49_100-149,local
act100_pair,9,red,left,put the red block in the left bowl,0,touch_no_grip,43.7,after initial missed grip it kept trying to pick it up but got stuck after block moved slightly,2026-09-08T20:37:49,experiments/checkpoints/act_so101_blocks_20000_ep0-49_100-149,local
act100_pair,10,blue,right,put the blue block in the right bowl,0,touch_no_grip,43.2,gripper slams into table and fails to pick up block,2026-09-08T20:39:27,experiments/checkpoints/act_so101_blocks_20000_ep0-49_100-149,local
act100_pair,11,red,left,put the red block in the left bowl,0,touch_no_grip,43.3,"gripper slams into table and struggles to grasp red block, though it tries a few times. pushes bowl away",2026-09-08T20:40:36,experiments/checkpoints/act_so101_blocks_20000_ep0-49_100-149,local
act100_pair,12,blue,right,put the blue block in the right bowl,0,no_reach,43.5,"arm never approaches block, gets stuck in an arbitrary position",2026-09-08T20:41:38,experiments/checkpoints/act_so101_blocks_20000_ep0-49_100-149,local
act100_pair,13,red,left,put the red block in the left bowl,0,touch_no_grip,43.4,"touches block but never picks it up, gets stuck trying to regrasp",2026-09-08T20:42:41,experiments/checkpoints/act_so101_blocks_20000_ep0-49_100-149,local
act100_pair,14,blue,right,put the blue block in the right bowl,1,,43.6,"picked up block, passed over edge of bowl very low but dropped into bowl and returned to start",2026-09-08T20:43:49,experiments/checkpoints/act_so101_blocks_20000_ep0-49_100-149,local
act100_pair,15,red,left,put the red block in the left bowl,0,touch_no_grip,43.3,"missed block grasp though was very close to touching block, got stuck trying to retry",2026-09-08T20:44:55,experiments/checkpoints/act_so101_blocks_20000_ep0-49_100-149,local
act100_pair,16,blue,right,put the blue block in the right bowl,0,no_reach,43.5,"never got close to block, kept twitching up and down at starting position",2026-09-08T20:46:02,experiments/checkpoints/act_so101_blocks_20000_ep0-49_100-149,local
act100_pair,17,red,left,put the red block in the left bowl,0,touch_no_grip,43.3,"touched block but missed initial grasp, got stuck retrying",2026-09-08T20:47:02,experiments/checkpoints/act_so101_blocks_20000_ep0-49_100-149,local
act100_pair,18,blue,right,put the blue block in the right bowl,0,no_reach,43.3,anchored to somewhat arbitrary position in middle of mat and got stuck,2026-09-08T20:48:01,experiments/checkpoints/act_so101_blocks_20000_ep0-49_100-149,local
act100_pair,19,red,left,put the red block in the left bowl,0,no_reach,43.4,"hovered above mat, never came close to gripping block",2026-09-08T20:48:58,experiments/checkpoints/act_so101_blocks_20000_ep0-49_100-149,local
act100_pair,20,blue,right,put the blue block in the right bowl,0,drop,43.4,it initially closed grippers around the block but then loosened again as it moved up to bring it to the bowl. never recovered,2026-09-08T20:50:07,experiments/checkpoints/act_so101_blocks_20000_ep0-49_100-149,local
