name,position,color,bowl,task,success,failure_type,duration_s,notes,timestamp,policy,mode
smolvla_wristonly_pair,1,red,left,put the red block in the left bowl,0,no_reach,57.4,"reaches to opposite side of mat, not close to grasping",2026-09-11T11:39:27,experiments/checkpoints/smolvla_notop_n100,sync
smolvla_wristonly_pair,2,blue,right,put the blue block in the right bowl,1,,56.7,"successfully picks up block and drops in bowl, arm keeps moving around mat afterwards",2026-09-11T11:41:03,experiments/checkpoints/smolvla_notop_n100,sync
smolvla_wristonly_pair,3,red,left,put the red block in the left bowl,0,timeout,56.0,"struggles to orient to block but grasps at last chunk, times out",2026-09-11T11:42:30,experiments/checkpoints/smolvla_notop_n100,sync
smolvla_wristonly_pair,4,blue,right,put the blue block in the right bowl,1,,56.3,"successfully grips and deposits in bowl, arm continues moving around mat after success",2026-09-11T11:44:12,experiments/checkpoints/smolvla_notop_n100,sync
smolvla_wristonly_pair,5,red,left,put the red block in the left bowl,1,,55.8,"lucky, barely grasped edge of bowl and nearly dropped too early but bounced off side into bowl",2026-09-11T11:45:30,experiments/checkpoints/smolvla_notop_n100,sync
smolvla_wristonly_pair,6,blue,right,put the blue block in the right bowl,1,,55.8,"timesout towrads end of task, does not return to starting position, but drops block in bowl",2026-09-11T11:48:52,experiments/checkpoints/smolvla_notop_n100,sync
smolvla_wristonly_pair,7,red,left,put the red block in the left bowl,1,,55.6,"successfully drops block in bowl, arm returns to center of mat and hovers",2026-09-11T11:50:13,experiments/checkpoints/smolvla_notop_n100,sync
smolvla_wristonly_pair,8,blue,right,put the blue block in the right bowl,0,touch_no_grip,55.7,"gripper applies pressure directly ontop of block, attempts to grip pushes block away, no grip",2026-09-11T11:54:33,experiments/checkpoints/smolvla_notop_n100,sync
smolvla_wristonly_pair,9,red,left,put the red block in the left bowl,1,,56.5,"grips block along off edges and deposits in bowl, arm picks back up and hovers over center of mat",2026-09-11T11:55:59,experiments/checkpoints/smolvla_notop_n100,sync
smolvla_wristonly_pair,10,blue,right,put the blue block in the right bowl,1,,56.6,"initial grip pushed block on edge, but second attempt gripped successfully and deposited in bowl. arm picksks back up and hovers over center of mat",2026-09-11T11:57:55,experiments/checkpoints/smolvla_notop_n100,sync
smolvla_wristonly_pair,11,red,left,put the red block in the left bowl,1,,56.3,"succesfully grips, arm hovers over center of mat after successful drop",2026-09-11T11:59:23,experiments/checkpoints/smolvla_notop_n100,sync
smolvla_wristonly_pair,12,blue,right,put the blue block in the right bowl,1,,57.5,"barely grips block along edge and deposits into bowl, arm hovers over middle of mat after success",2026-09-11T12:02:11,experiments/checkpoints/smolvla_notop_n100,sync
smolvla_wristonly_pair,13,red,left,put the red block in the left bowl,1,,56.4,"successfully grips first try, arm returns to hover over center of mat after success",2026-09-11T12:03:31,experiments/checkpoints/smolvla_notop_n100,sync
smolvla_wristonly_pair,14,blue,right,put the blue block in the right bowl,0,touch_no_grip,55.7,touches block but not positioned correctly to grip,2026-09-11T12:04:50,experiments/checkpoints/smolvla_notop_n100,sync
smolvla_wristonly_pair,15,red,left,put the red block in the left bowl,1,,55.7,"successfully grips first try, arm hovers towards right of mat close to pink bowl",2026-09-11T12:06:06,experiments/checkpoints/smolvla_notop_n100,sync
smolvla_wristonly_pair,16,blue,right,put the blue block in the right bowl,0,touch_no_grip,56.2,"touches block, close to gripping but timed out at the end, no grip",2026-09-11T12:07:23,experiments/checkpoints/smolvla_notop_n100,sync
smolvla_wristonly_pair,17,red,left,put the red block in the left bowl,1,,58.6,"successfully grips and drops in bowl, arm hovers around center of mat and moves up and down after completion",2026-09-11T12:08:56,experiments/checkpoints/smolvla_notop_n100,sync
smolvla_wristonly_pair,18,blue,right,put the blue block in the right bowl,0,no_reach,56.7,attemps to grip at offset to block,2026-09-11T12:14:42,experiments/checkpoints/smolvla_notop_n100,sync
smolvla_wristonly_pair,19,red,left,put the red block in the left bowl,0,touch_no_grip,57.5,"attempts to grip at offset to block, gripper moves around block but not oriented properly",2026-09-11T12:16:20,experiments/checkpoints/smolvla_notop_n100,sync
smolvla_wristonly_pair,20,blue,right,put the blue block in the right bowl,0,touch_no_grip,56.3,"touches block, attempts to grip at offset to block",2026-09-11T12:17:44,experiments/checkpoints/smolvla_notop_n100,sync
